,Ticker,Denominação social,Nome de pregão,CNPJ
,VULC3,Vulcabras,VULCABRAS/AZALEIA S.A.,50926955000142
,VVEO3,Viveo,CM HOSPITALAR S.A.,12420164000157
,WEGE3,Weg,WEG S.A.,84429695000111
,WEST3,Westwing,WESTWING COMERCIO VAREJISTA S.A.,14776142000150
,WHRL3,Whirlpool,WHIRLPOOL S.A.,59105999000186
,WHRL4,Whirlpool,WHIRLPOOL S.A.,59105999000186
,WIZC3,WIZ CO,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,42278473000103
,WLMM3,Wlm Ind Com,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,33228024000151
,WLMM4,Wlm Ind Com,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,33228024000151
,YBRA3B,Ybyra S/A,YBRA3 TENNOLOGIA LTDA,02217319000107
,YDUQ3,Yduqs Part,YDUQS PARTICIPACOES S.A.,08807432000110
,ZAMP3,ZAMP S.A.,ZAMP S.A.,13574594000196
